"","name","country.etc","pop","lat","long","capital"
"10181","Edmonton","CAN",831979,53.57,-113.54,0
"10182","Edmundston","CAN",18851,47.38,-68.34,0
"10183","Edosaki","JPN",20876,35.95,140.32,0
"10184","Edremit","TUR",41035,39.61,27.02,0
"10185","Edremit","TUR",7666,38.42,43.25,0
"10186","Edson","CAN",8069,53.58,-116.42,0
"10187","Eeklo","BEL",19137,51.18,3.57,0
"10188","Eemsmond","NLD",16409,53.4,6.61,0
"10189","Eenhana","NAM",3457,-17.42,16.32,0
"10190","Eersel","NLD",18085,51.37,5.31,0
"10191","Effium","NGA",89374,6.63,8.07,0
"10192","Eflani","TUR",4536,41.42,32.96,0
"10193","Efon Alaye","NGA",289576,7.67,4.88,0
"10194","Eforie","ROU",9504,44.07,28.63,0
"10195","Efrata","ISR",8106,31.65,35.13,0
"10196","Eganville","CAN",1316,45.53,-77.1,0
"10197","Egbe","NGA",18007,8.22,5.52,0
"10198","Eger","HUN",56037,47.9,20.38,0
"10199","Egerkingen","CHE",2931,47.32,7.77,0
"10200","Egersund","NOR",9531,58.46,6.01,0
"10201","Egerszalok","HUN",1942,47.87,20.33,0
"10202","Egg","CHE",7906,47.3,8.69,0
"10203","Eggenstein-Leopoldshafen","DEU",15191,49.09,8.38,0
"10204","Eggersriet","CHE",2217,47.45,9.47,0
"10205","Eggiwil","CHE",2553,46.88,7.78,0
"10206","Eggkleiva","NOR",249,63.28,10.05,0
"10207","Egham","GBR",30168,51.43,-0.57,0
"10208","Eghezee","BEL",14563,50.59,4.92,0
"10209","Egil","TUR",4808,38.26,40.08,0
"10210","Egilsstaoir","ISL",1969,65.26,-14.4,0
"10211","Egindykol","KAZ",3772,51.05,69.47,0
"10212","Egirdir","TUR",17259,37.87,30.85,0
"10213","Eglisau","CHE",3223,47.57,8.55,0
"10214","Egmont Village","NZL",479,-39.15,174.15,0
"10215","Egnach","CHE",4196,47.53,9.37,0
"10216","Egtved","DNK",2182,55.62,9.3,0
"10217","Egyek","HUN",5561,47.62,20.89,0
